Name,Url,Authority,Started On,Finished On,License Number
Математика и Python для анализа данных,https://www.coursera.org/account/accomplishments/certificate/KAL72YYQGXED,Coursera,Apr 2020,,KAL72YYQGXED
Introduction to Imagemaking,https://www.coursera.org/account/accomplishments/certificate/QTYWH5FXN6LS,Coursera,Dec 2020,,QTYWH5FXN6LS
Huawei Certified ICT Associate WLAN,,Huawei,Dec 2020,Dec 2023,010101001808062531409
Information Security Incident Handling,,IT Masters (CSU),Aug 2020,,
Pen Testing,,IT Masters (CSU),Aug 2020,,
Frontend(WEB),,ONE Technologies,Aug 2020,,
SQL,https://www.hackerrank.com/certificates/f7ca242fd67b,HackerRank,Sep 2020,,F7CA242FD67B
Python,https://www.hackerrank.com/certificates/1ef3fe6e1ade,HackerRank,Sep 2020,,1EF3FE6E1ADE
Problem Solving,https://www.hackerrank.com/certificates/96c619601970,HackerRank,Sep 2020,,1EF3FE6E1ADE
JavaScript,https://www.hackerrank.com/certificates/d4aec47d6d23,HackerRank,Dec 2020,,D4AEC47D6D23
Introduction to R,https://www.datacamp.com/statement-of-accomplishment/course/8a2283eb98070266a6f04531721f34ace10ff653,DataCamp,Feb 2021,,8a2283eb98070266a6f04531721f34ace10ff653
Python Fundamentals Track,https://www.datacamp.com/statement-of-accomplishment/track/80dde1d806094a985841c93f8c30ae45af16dd7d,DataCamp,Feb 2021,,80dde1d806094a985841c93f8c30ae45af16dd7d
GitLab 101 Certification,https://docs.google.com/feeds/download/presentations/Export?id=1roXE0ENlg9UWTB9iv2xBvJNrsP2v490b_97vm8PuxVE&exportFormat=pdf,GitLab,Mar 2021,,
CCNA: Introduction to Networks,https://www.credly.com/badges/86d88e69-28b9-4d74-a435-183f00857ec2?source=linked_in_profile,Cisco,Apr 2021,,
Guide to reference managers: How to effectively manage your references,,Elsevier,Sep 2021,,
Fundamentals of manuscript preparation,,Elsevier,Sep 2021,,
How to prepare your manuscript,,Elsevier,Sep 2021,,
How to write an abstract and improve your article,,Elsevier,Sep 2021,,
Structuring your article correctly,,Elsevier,Sep 2021,,
Dr. Web LiveCD (Live USB),https://st.drweb.com/upload/91d3bf25429f396ec930c430690918ee_1549730056_6026360_tcrt.png,Dr.Web Perú,Feb 2019,Feb 2020,2946452
Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/verify/3OG0F187N5O1,Coursera,Nov 2024,,3OG0F187N5O1
Certificate of Ordination in Dudeism,https://dudeism.com/ordcertificate/?ordname=Adil%20Akhmetov&orddate=11/24/2024,Dudeism,Nov 2024,,
Credentials of Ordained Minister,https://www.ulc.org/credentials/ordination-certificate-QWRpbCBBa2htZXRvdl4xMS8yNC8yMDI0XmxhcmdlXmZyZWVe.jpg,Universal Life Church,Nov 2024,,
Certified Ethical Hacking (v12) Specialization,https://www.coursera.org/account/accomplishments/specialization/NDEBC6LXWLOC,LearnKartS - Customized eLearning Content Provider,Nov 2024,,NDEBC6LXWLOC
Introduction to Ethical Hacking Specialization,https://www.coursera.org/account/accomplishments/specialization/76NZZWWJKGPB,The Johns Hopkins University,Nov 2024,,76NZZWWJKGPB
